valor_ipc,categoria_gasto,fecha_iso,indicador
97.329,IPC General,2018-12-01,IPC_Indice_Base_2021_INE
97.768,IPC General,2018-11-01,IPC_Indice_Base_2021_INE
97.875,IPC General,2018-10-01,IPC_Indice_Base_2021_INE
96.978,IPC General,2018-09-01,IPC_Indice_Base_2021_INE
96.742,IPC General,2018-08-01,IPC_Indice_Base_2021_INE
96.604,IPC General,2018-07-01,IPC_Indice_Base_2021_INE
97.302,IPC General,2018-06-01,IPC_Indice_Base_2021_INE
97.048,IPC General,2018-05-01,IPC_Indice_Base_2021_INE
96.181,IPC General,2018-04-01,IPC_Indice_Base_2021_INE
95.393,IPC General,2018-03-01,IPC_Indice_Base_2021_INE
95.281,IPC General,2018-02-01,IPC_Indice_Base_2021_INE
95.153,IPC General,2018-01-01,IPC_Indice_Base_2021_INE
96.19,IPC General,2017-12-01,IPC_Indice_Base_2021_INE
96.147,IPC General,2017-11-01,IPC_Indice_Base_2021_INE
95.71,IPC General,2017-10-01,IPC_Indice_Base_2021_INE
94.835,IPC General,2017-09-01,IPC_Indice_Base_2021_INE
94.67,IPC General,2017-08-01,IPC_Indice_Base_2021_INE
94.482,IPC General,2017-07-01,IPC_Indice_Base_2021_INE
95.138,IPC General,2017-06-01,IPC_Indice_Base_2021_INE
95.097,IPC General,2017-05-01,IPC_Indice_Base_2021_INE
95.154,IPC General,2017-04-01,IPC_Indice_Base_2021_INE
94.249,IPC General,2017-03-01,IPC_Indice_Base_2021_INE
94.269,IPC General,2017-02-01,IPC_Indice_Base_2021_INE
94.609,IPC General,2017-01-01,IPC_Indice_Base_2021_INE
95.132,IPC General,2016-12-01,IPC_Indice_Base_2021_INE
94.572,IPC General,2016-11-01,IPC_Indice_Base_2021_INE
94.23,IPC General,2016-10-01,IPC_Indice_Base_2021_INE
93.165,IPC General,2016-09-01,IPC_Indice_Base_2021_INE
93.161,IPC General,2016-08-01,IPC_Indice_Base_2021_INE
93.041,IPC General,2016-07-01,IPC_Indice_Base_2021_INE
93.723,IPC General,2016-06-01,IPC_Indice_Base_2021_INE
93.292,IPC General,2016-05-01,IPC_Indice_Base_2021_INE
92.785,IPC General,2016-04-01,IPC_Indice_Base_2021_INE
92.139,IPC General,2016-03-01,IPC_Indice_Base_2021_INE
91.552,IPC General,2016-02-01,IPC_Indice_Base_2021_INE
91.876,IPC General,2016-01-01,IPC_Indice_Base_2021_INE
93.663,IPC General,2015-12-01,IPC_Indice_Base_2021_INE
93.937,IPC General,2015-11-01,IPC_Indice_Base_2021_INE
93.595,IPC General,2015-10-01,IPC_Indice_Base_2021_INE
92.999,IPC General,2015-09-01,IPC_Indice_Base_2021_INE
93.286,IPC General,2015-08-01,IPC_Indice_Base_2021_INE
93.597,IPC General,2015-07-01,IPC_Indice_Base_2021_INE
94.474,IPC General,2015-06-01,IPC_Indice_Base_2021_INE
94.222,IPC General,2015-05-01,IPC_Indice_Base_2021_INE
93.774,IPC General,2015-04-01,IPC_Indice_Base_2021_INE
92.92,IPC General,2015-03-01,IPC_Indice_Base_2021_INE
